timestamp,sound
1552573058.626189,133
1552573059.185891,176
1552573059.732821,133
1552573060.279449,213
1552573060.826889,134
1552573061.3826432,135
1552573061.9292653,132
1552573062.4767952,133
1552573063.0244002,132
1552573063.5714493,301
1552573064.1181734,249
1552573064.6716275,167
1552573065.2204704,216
1552573065.7678916,132
1552573066.3151166,133
1552573066.8684688,277
1552573067.4156177,311
1552573067.9627278,135
1552573068.5103319,196
1552573069.057296,133
1552573069.6045,135
1552573070.152179,135
1552573070.6990912,134
1552573071.2466602,154
1552573131.2514935,370
1552573131.8113916,327
1552573132.3600786,461
1552573132.9094646,134
1552573133.4582267,202
1552573134.0080628,218
1552573134.5575917,135
1552573135.1088448,135
1552573135.6579459,464
1552573136.2080638,336
1552573136.7577899,207
1552573137.313118,135
1552573137.862809,168
1552573138.412566,267
1552573138.963469,206
1552573139.513899,136
1552573140.0715382,135
1552573140.6234381,227
1552573141.1723943,210
1552573141.7224562,327
1552573142.2715683,232
1552573142.8259172,245
1552573143.3760083,243
1552573143.9249613,137
1552573144.4741294,135
1552573145.0237675,141
1552573145.5730715,137
1552573146.1231177,137
1552573146.6740777,135
1552573147.2244618,138
1552573147.7742448,141
1552573148.3292427,135
1552573148.8784528,136
1552573149.4280078,136
1552573149.976928,139
1552573150.526073,307
1552573151.075345,191
1552573151.624449,138
1552573152.17345,210
1552573152.7223432,137
1552573153.2716413,136
1552573153.8267293,207
1552573154.3756602,138
1552573154.9246383,306
1552573155.4742303,252
1552573156.0231514,137
1552573156.5719724,191
1552573157.1213064,137
1552573157.6716115,136
1552573158.2210805,137
1552573158.7700737,198
1552573159.3261447,166
1552573159.8748858,244
1552573160.4247088,395
1552573160.9767478,137
1552573161.526039,147
1552573162.07494,221
1552573162.624153,169
1552573163.173374,246
1552573163.722638,207
1552573164.271698,143
1552573164.826575,138
1552573165.3759122,302
1552573165.9251442,175
1552573166.4752133,139
1552573167.0243874,139
1552573167.5737834,137
1552573168.1227114,158
1552573168.6780984,139
1552573169.2291155,225
1552573169.7782125,139
1552573170.3330414,139
1552573170.8819184,139
1552573171.4309435,137
1552573171.9797206,198
1552573172.5287127,141
1552573173.0777256,256
1552573173.6269388,148
1552573174.176107,138
1552573174.7252018,137
1552573175.2741668,139
1552573175.829213,221
1552573176.378153,139
1552573176.927084,307
1552573177.476351,140
1552573178.025588,203
1552573178.5748382,209
1552573179.1237001,140
1552573179.6729572,143
1552573180.2223804,143
1552573180.7713933,139
1552573181.3259554,177
1552573181.8749585,138
1552573182.4257374,144
1552573182.9748034,342
1552573183.5238545,299
1552573184.0743947,141
1552573184.6241996,179
1552573185.1732547,172
1552573185.7223828,139
1552573186.2719378,177
1552573186.8261287,198
1552573187.3803098,140
1552573187.9295368,140
1552573188.478467,141
1552573189.027868,144
1552573189.576667,140
1552573190.126003,140
1552573190.6750832,141
1552573191.2249663,139
1552573191.7766442,141
1552573192.3261971,143
1552573192.8749802,140
1552573193.4239414,268
1552573193.9728625,140
1552573194.5221806,142
1552573195.0714176,140
1552573195.6202376,139
1552573196.1695397,211
1552573196.7190306,143
1552573197.2680957,314
1552573197.8229218,142
1552573198.3724947,141
1552573198.9218647,145
1552573199.470742,140
1552573200.01965,141
1552573200.5685549,169
1552573201.117624,140
1552573201.6676621,142
1552573202.2166412,259
1552573202.7654803,153
1552573203.3198762,142
1552573203.8690772,140
1552573204.4180462,141
1552573204.9674184,213
1552573205.5157435,140
1552573206.0648634,140
1552573206.6140475,191
1552573207.1637135,233
1552573207.7126546,142
1552573208.2619357,140
1552573208.8164587,142
1552573209.3656356,141
1552573209.9159398,262
1552573210.4650168,142
1552573211.0144517,141
1552573211.563587,366
1552573212.112951,141
1552573212.661992,143
1552573213.213877,243
1552573213.762974,307
1552573214.317482,329
1552573214.8661082,141
1552573215.415821,143
1552573215.9648662,227
1552573216.5197022,148
1552573217.0692432,246
1552573217.6181374,142
1552573218.1672413,170
1552573218.7159314,143
1552573219.2650435,142
1552573219.8200166,142
1552573220.3702826,142
1552573220.9193816,313
1552573221.4692686,302
1552573222.0213056,143
1552573222.5702686,143
1552573223.1196468,303
1552573223.6697419,143
1552573224.2189038,144
1552573224.7684798,144
1552573225.323982,146
1552573225.874454,273
1552573226.424671,143
1552573226.973891,175
1552573227.5231671,141
1552573228.0723813,143
1552573228.6226473,171
1552573229.1722863,143
1552573229.7216892,147
1552573230.2722843,367
1552573230.8264394,143
1552573231.3760624,145
1552573231.9252694,243
1552573232.4743485,254
1552573233.0250275,173
1552573233.5745296,255
1552573234.1239457,281
1552573234.6731927,224
1552573235.2287107,143
1552573235.7784748,144
1552573236.3338568,261
1552573236.8837447,296
1552573237.4347777,365
1552573237.9842699,144
1552573238.534245,144
1552573239.083289,143
1552573239.632387,143
1552573240.182183,143
1552573240.7310822,174
1552573241.2804372,145
1552573241.8354812,264
1552573242.384493,208
1552573242.9337802,151
1552573243.4827013,145
1552573244.0324254,148
1552573244.5815744,146
1552573245.1305244,145
1552573245.6796074,276
1552573246.2286646,145
1552573246.7775116,144
1552573247.3324926,145
1552573247.8814027,216
1552573248.4312327,144
1552573248.9804769,224
1552573249.5293179,146
1552573250.078337,145
1552573250.627472,204
1552573251.177979,145
1552573251.727436,286
1552573252.280231,143
1552573252.830698,144
1552573253.379754,144
1552573253.9345462,145
1552573254.4837692,146
1552573255.0328302,146
1552573255.5824564,145
1552573256.1314752,145
1552573256.6807704,177
1552573257.2297685,281
1552573257.7781146,156
1552573258.3329976,146
1552573258.8826056,291
1552573259.4323556,144
1552573259.9814477,146
1552573260.5309887,144
1552573261.0802028,148
1552573261.6292787,147
1552573262.1782968,146
1552573262.7281308,147
1552573263.277377,145
1552573263.8324149,147
1552573264.382637,147
1552573264.931947,145
1552573265.481457,320
1552573266.030728,146
1552573266.5802402,149
1552573267.1299932,145
1552573267.6793864,147
1552573268.2297294,146
1552573268.7787323,146
1552573269.3338563,146
1552573269.8830774,248
1552573270.4323814,147
1552573270.9816585,175
1552573271.5305636,146
1552573272.0797386,147
1552573272.6295207,147
1552573273.1868095,208
1552573273.7359848,309
1552573274.2848418,186
1552573274.8392558,148
1552573275.3886237,372
1552573275.9375699,147
1552573276.486743,147
1552573277.035887,146
1552573277.58499,148
1552573278.136529,147
1552573278.6856592,303
1552573279.2350132,148
1552573279.7840042,147
1552573280.3386133,197
1552573280.8878653,147
1552573281.4378173,147
1552573281.9863353,147
1552573282.5354743,148
1552573283.0847824,147
1552573283.6341095,298
1552573284.1831865,251
1552573284.7320325,274
1552573285.2857926,146
1552573285.8412576,147
1552573286.3902647,149
1552573286.9412446,148
1552573287.4899967,146
1552573288.0389848,149
1552573288.588851,147
1552573289.138119,240
1552573289.68713,150
1552573290.236578,148
1552573290.785267,145
1552573291.340409,267
1552573291.8894012,148
1552573292.4389172,268
1552573292.9876673,147
1552573293.5370483,149
1552573294.0867164,390
1552573294.6354074,148
1552573295.1845865,147
1552573295.7354496,200
1552573296.2846565,157
1552573296.8401074,148
1552573297.3895056,148
1552573297.9390905,150
1552573298.4885798,233
1552573299.0385387,313
1552573299.5885088,257
1552573300.1377099,234
1552573300.6881208,378
1552573301.2369168,217
1552573301.7941458,150
1552573302.343514,149
1552573302.892785,150
1552573303.441692,216
1552573303.9906821,219
1552573304.5395622,307
1552573305.089055,165
1552573305.6382651,151
1552573306.1873333,150
1552573306.7358012,152
1552573307.2851534,150
1552573307.8397074,151
1552573308.3891885,149
1552573308.9379215,152
1552573309.4868326,149
1552573310.0363836,215
1552573310.5852916,274
1552573311.1342318,150
1552573311.6832278,151
1552573312.2325618,150
1552573312.781628,317
1552573313.330433,149
1552573313.8794959,153
1552573314.428576,149
1552573314.97753,192
1552573315.527676,149
1552573316.076908,228
1552573316.6262753,149
1552573317.1759002,256
1552573317.7249143,152
1552573318.2738574,151
1552573318.8288302,151
1552573319.3791003,150
1552573319.9280305,404
1552573320.4773884,178
1552573321.0330625,156
1552573321.5824845,151
1552573322.1315126,151
1552573322.6805477,150
1552573323.2296417,159
1552573323.7784908,249
1552573324.3349338,150
1552573324.8842669,152
1552573325.4332068,323
1552573325.9823098,377
1552573326.531223,151
1552573327.079928,151
1552573327.63218,218
1552573328.181343,152
1552573328.730025,151
1552573329.2795463,288
1552573329.8344512,266
1552573330.3834882,279
1552573330.9329762,150
1552573331.4819822,154
1552573332.0313363,150
1552573332.5809524,153
1552573333.1300535,254
1552573333.6793396,228
1552573334.2282927,195
1552573334.7781186,150
1552573335.3347945,230
