timestamp,light
1552573058.626189,758
1552573059.185891,759
1552573059.732821,759
1552573060.279449,758
1552573060.826889,758
1552573061.3826432,759
1552573061.9292653,757
1552573062.4767952,760
1552573063.0244002,758
1552573063.5714493,756
1552573064.1181734,757
1552573064.6716275,757
1552573065.2204704,757
1552573065.7678916,758
1552573066.3151166,758
1552573066.8684688,759
1552573067.4156177,756
1552573067.9627278,757
1552573068.5103319,759
1552573069.057296,758
1552573069.6045,756
1552573070.152179,756
1552573070.6990912,760
1552573071.2466602,757
1552573131.2514935,758
1552573131.8113916,761
1552573132.3600786,758
1552573132.9094646,758
1552573133.4582267,761
1552573134.0080628,759
1552573134.5575917,758
1552573135.1088448,759
1552573135.6579459,757
1552573136.2080638,757
1552573136.7577899,758
1552573137.313118,759
1552573137.862809,759
1552573138.412566,758
1552573138.963469,758
1552573139.513899,760
1552573140.0715382,759
1552573140.6234381,759
1552573141.1723943,758
1552573141.7224562,758
1552573142.2715683,756
1552573142.8259172,758
1552573143.3760083,759
1552573143.9249613,759
1552573144.4741294,757
1552573145.0237675,758
1552573145.5730715,758
1552573146.1231177,758
1552573146.6740777,757
1552573147.2244618,759
1552573147.7742448,758
1552573148.3292427,758
1552573148.8784528,758
1552573149.4280078,758
1552573149.976928,759
1552573150.526073,757
1552573151.075345,759
1552573151.624449,757
1552573152.17345,757
1552573152.7223432,759
1552573153.2716413,760
1552573153.8267293,759
1552573154.3756602,759
1552573154.9246383,757
1552573155.4742303,758
1552573156.0231514,759
1552573156.5719724,757
1552573157.1213064,758
1552573157.6716115,758
1552573158.2210805,758
1552573158.7700737,757
1552573159.3261447,759
1552573159.8748858,757
1552573160.4247088,759
1552573160.9767478,759
1552573161.526039,758
1552573162.07494,757
1552573162.624153,756
1552573163.173374,757
1552573163.722638,758
1552573164.271698,759
1552573164.826575,760
1552573165.3759122,758
1552573165.9251442,758
1552573166.4752133,760
1552573167.0243874,761
1552573167.5737834,760
1552573168.1227114,756
1552573168.6780984,756
1552573169.2291155,759
1552573169.7782125,757
1552573170.3330414,759
1552573170.8819184,760
1552573171.4309435,757
1552573171.9797206,757
1552573172.5287127,757
1552573173.0777256,759
1552573173.6269388,759
1552573174.176107,759
1552573174.7252018,758
1552573175.2741668,759
1552573175.829213,759
1552573176.378153,759
1552573176.927084,759
1552573177.476351,756
1552573178.025588,759
1552573178.5748382,758
1552573179.1237001,760
1552573179.6729572,759
1552573180.2223804,759
1552573180.7713933,759
1552573181.3259554,757
1552573181.8749585,757
1552573182.4257374,757
1552573182.9748034,758
1552573183.5238545,757
1552573184.0743947,759
1552573184.6241996,757
1552573185.1732547,758
1552573185.7223828,758
1552573186.2719378,759
1552573186.8261287,758
1552573187.3803098,759
1552573187.9295368,758
1552573188.478467,759
1552573189.027868,758
1552573189.576667,757
1552573190.126003,759
1552573190.6750832,758
1552573191.2249663,759
1552573191.7766442,758
1552573192.3261971,760
1552573192.8749802,760
1552573193.4239414,759
1552573193.9728625,759
1552573194.5221806,756
1552573195.0714176,759
1552573195.6202376,759
1552573196.1695397,757
1552573196.7190306,759
1552573197.2680957,758
1552573197.8229218,759
1552573198.3724947,759
1552573198.9218647,760
1552573199.470742,760
1552573200.01965,757
1552573200.5685549,757
1552573201.117624,759
1552573201.6676621,758
1552573202.2166412,757
1552573202.7654803,759
1552573203.3198762,759
1552573203.8690772,757
1552573204.4180462,759
1552573204.9674184,759
1552573205.5157435,759
1552573206.0648634,758
1552573206.6140475,758
1552573207.1637135,757
1552573207.7126546,756
1552573208.2619357,757
1552573208.8164587,759
1552573209.3656356,759
1552573209.9159398,757
1552573210.4650168,759
1552573211.0144517,757
1552573211.563587,759
1552573212.112951,757
1552573212.661992,758
1552573213.213877,757
1552573213.762974,759
1552573214.317482,759
1552573214.8661082,757
1552573215.415821,758
1552573215.9648662,758
1552573216.5197022,759
1552573217.0692432,756
1552573217.6181374,758
1552573218.1672413,760
1552573218.7159314,759
1552573219.2650435,757
1552573219.8200166,756
1552573220.3702826,759
1552573220.9193816,758
1552573221.4692686,758
1552573222.0213056,758
1552573222.5702686,759
1552573223.1196468,759
1552573223.6697419,759
1552573224.2189038,757
1552573224.7684798,758
1552573225.323982,758
1552573225.874454,757
1552573226.424671,758
1552573226.973891,758
1552573227.5231671,760
1552573228.0723813,759
1552573228.6226473,759
1552573229.1722863,758
1552573229.7216892,759
1552573230.2722843,758
1552573230.8264394,758
1552573231.3760624,759
1552573231.9252694,759
1552573232.4743485,757
1552573233.0250275,759
1552573233.5745296,757
1552573234.1239457,759
1552573234.6731927,759
1552573235.2287107,757
1552573235.7784748,759
1552573236.3338568,756
1552573236.8837447,758
1552573237.4347777,757
1552573237.9842699,759
1552573238.534245,759
1552573239.083289,759
1552573239.632387,759
1552573240.182183,756
1552573240.7310822,758
1552573241.2804372,758
1552573241.8354812,756
1552573242.384493,757
1552573242.9337802,759
1552573243.4827013,759
1552573244.0324254,758
1552573244.5815744,759
1552573245.1305244,758
1552573245.6796074,757
1552573246.2286646,759
1552573246.7775116,759
1552573247.3324926,756
1552573247.8814027,756
1552573248.4312327,757
1552573248.9804769,758
1552573249.5293179,759
1552573250.078337,759
1552573250.627472,757
1552573251.177979,759
1552573251.727436,759
1552573252.280231,758
1552573252.830698,757
1552573253.379754,760
1552573253.9345462,760
1552573254.4837692,759
1552573255.0328302,759
1552573255.5824564,758
1552573256.1314752,759
1552573256.6807704,759
1552573257.2297685,757
1552573257.7781146,757
1552573258.3329976,757
1552573258.8826056,759
1552573259.4323556,757
1552573259.9814477,760
1552573260.5309887,759
1552573261.0802028,759
1552573261.6292787,757
1552573262.1782968,757
1552573262.7281308,757
1552573263.277377,758
1552573263.8324149,757
1552573264.382637,758
1552573264.931947,758
1552573265.481457,759
1552573266.030728,757
1552573266.5802402,758
1552573267.1299932,758
1552573267.6793864,758
1552573268.2297294,759
1552573268.7787323,760
1552573269.3338563,759
1552573269.8830774,759
1552573270.4323814,759
1552573270.9816585,759
1552573271.5305636,758
1552573272.0797386,759
1552573272.6295207,759
