timestamp,sound
1552572250.5268364,117
1552572251.0917783,248
1552572251.6443143,116
1552572252.1976283,116
1552572252.7521334,115
1552572253.3049893,241
1552572253.8583603,250
1552572254.4111924,117
1552572254.9640083,118
1552572255.5188704,241
1552572256.0797462,117
1552572256.6378684,117
1552572257.1905313,118
1552572257.7431865,117
1552572258.2956965,117
1552572258.8486784,256
1552572259.4017553,207
1552572259.9545693,118
1552572260.5076344,120
1552572261.0599616,117
1552572261.6128914,118
1552572262.1733935,280
1552572262.7263036,117
1552572263.2799535,116
1552572263.8332715,186
1552572264.3940055,122
1552572264.9466825,129
1552572265.4993246,119
1552572266.0526845,240
1552572266.6056306,117
1552572267.1640296,119
1552572267.7170856,176
1552572268.2693756,118
1552572268.8221676,121
1552572269.3752346,118
1552572269.9278758,118
1552572270.4811246,117
1552572271.0336368,120
1552572271.5861118,251
1552572272.1391368,287
1552572272.6917148,121
1552572273.243949,119
1552572273.796872,118
1552572274.34951,118
