timestamp,light
1552572250.5268364,758
1552572251.0917783,760
1552572251.6443143,759
1552572252.1976283,758
1552572252.7521334,761
1552572253.3049893,759
1552572253.8583603,759
1552572254.4111924,758
1552572254.9640083,760
1552572255.5188704,758
1552572256.0797462,757
1552572256.6378684,758
1552572257.1905313,758
1552572257.7431865,760
1552572258.2956965,759
1552572258.8486784,758
1552572259.4017553,758
1552572259.9545693,759
1552572260.5076344,757
1552572261.0599616,759
1552572261.6128914,758
1552572262.1733935,757
1552572262.7263036,760
1552572263.2799535,759
1552572263.8332715,759
1552572264.3940055,757
1552572264.9466825,760
1552572265.4993246,759
1552572266.0526845,759
1552572266.6056306,758
1552572267.1640296,758
1552572267.7170856,758
1552572268.2693756,757
1552572268.8221676,761
1552572269.3752346,759
1552572269.9278758,760
1552572270.4811246,759
1552572271.0336368,760
1552572271.5861118,757
1552572272.1391368,759
1552572272.6917148,760
1552572273.243949,759
1552572273.796872,759
1552572274.34951,760
