timestamp,sound
1552572541.0133753,349
1552572541.5780401,125
1552572542.1321013,124
1552572542.6846032,242
1552572543.2369504,123
1552572543.7894902,122
1552572544.3418994,179
1552572544.8943574,128
1552572545.4465535,125
1552572545.9987314,124
1552572546.5579224,123
1552572547.1110594,182
1552572547.6657615,272
1552572548.2183454,308
1552572548.7677555,125
1552572549.3207824,123
1552572549.8734276,126
1552572550.4277446,168
1552572550.9799845,125
1552572551.5324526,258
1552572552.0904186,250
1552572552.6426826,128
1552572553.1951516,124
1552572553.7474096,236
1552572554.2995458,123
1552572554.8522217,272
1552572555.4052846,220
1552572555.9594147,280
1552572556.513157,242
1552572557.0666127,124
1552572557.6195557,274
1552572558.1723797,267
1552572558.726662,125
1552572559.2821548,126
1552572559.8349988,123
1552572560.38757,125
1552572560.9402409,126
1552572561.496299,124
1552572562.048316,124
1552572562.607728,124
1552572563.1600099,123
1552572563.7124689,214
1552572564.265203,160
1552572564.817748,125
1552572565.371603,191
1552572565.924267,124
1552572566.477101,125
1552572567.029973,176
1552572567.582483,126
1552572568.140176,127
1552572568.692733,125
1552572569.2456112,124
1552572569.7984831,126
1552572570.351519,125
1552572570.9042141,257
1552572571.4566042,332
1552572572.0087564,215
1552572572.5611703,276
1552572573.1139064,125
1552572573.6665304,222
1552572574.2189393,125
1552572574.7717934,125
