timestamp,sound
1552571372.1193907,101
1552571372.6836247,95
1552571373.2377567,363
1552571373.7923806,96
1552571374.3449275,96
1552571374.8986354,189
1552571375.4521384,95
1552571376.0045414,95
1552571376.5570734,95
1552571377.1098073,95
1552571377.6701434,95
1552571378.2225642,151
1552571378.7772713,314
1552571379.329719,94
1552571379.889168,95
1552571380.442592,95
1552571380.995166,96
1552571381.547441,100
1552571382.0995529,189
1552571382.6611,95
1552571383.2137077,96
1552571383.7677948,96
1552571384.3223326,160
1552571384.8749177,138
1552571385.4310336,97
1552571385.9848866,96
1552571386.5375526,182
1552571387.0898085,110
1552571387.6425464,96
1552571388.2074454,102
1552571388.7593973,96
