timestamp,accelerationX,accelerationY,accelerationZ,magnitudeX,magnitudeY,magnitudeZ,orientationX,orientationY,orientationZ
1552571372.1193907,0.1292724609375,-1.0362548828125,0.077880859375,1320,6681,-190,-0.3966807567324703,1.4261734466740577,-1.0285735270502552
1552571372.6836247,0.095947265625,-1.02545166015625,0.059326171875,1408,6685,-150,-0.36303910892906677,1.436194831253642,-1.0772473633005546
1552571373.2377567,0.1214599609375,-1.02874755859375,0.0477294921875,1296,6702,-106,-0.21942751806561148,1.4188852077500822,-1.315946410602855
1552571373.7923806,0.09625244140625,-1.035400390625,0.07269287109375,1256,6692,-156,-0.26711667500919584,1.4327164672021013,-1.2362498832447126
1552571374.3449275,0.04705810546875,-1.02685546875,0.12762451171875,1363,6681,-143,-0.1000368068032882,1.3932730921001821,-1.490759336034693
1552571374.8986354,0.05889892578125,-1.011474609375,0.0855712890625,1467,6630,-115,-0.46316418014674265,1.4523558220576858,-0.9601514226738199
1552571375.4521384,0.06707763671875,-1.01434326171875,0.07293701171875,1506,6646,-125,-0.23359239774337157,1.4411529063739195,-1.2865409630067342
1552571376.0045414,0.114501953125,-1.04296875,0.07012939453125,1456,6664,-188,-0.3627781713104113,1.4489855529738584,-1.1146112658293394
1552571376.5570734,0.06585693359375,-0.9677734375,0.058837890625,1489,6652,-99,-0.6020099445984156,1.4708327625908335,-0.7680688757615287
1552571377.1098073,0.06549072265625,-1.0662841796875,0.08148193359375,1444,6691,-161,-0.12930070375575803,1.4129472468542112,-1.4459916245884494
1552571377.6701434,0.09149169921875,-0.9688720703125,0.084228515625,1529,6628,-193,-0.78964450442951,1.4680202852389521,-0.5818214671320859
1552571378.2225642,0.04925537109375,-1.0394287109375,0.09783935546875,1467,6649,-222,-0.48246508518014725,1.4471907034979843,-0.9819872718092548
1552571378.7772713,0.09771728515625,-1.039306640625,0.0640869140625,1437,6653,-195,-0.4610981340313792,1.444792583483305,-0.9697568274753751
1552571379.329719,0.0592041015625,-1.0460205078125,0.1182861328125,1401,6673,-178,-0.4244621661842073,1.4507558915507877,-1.0370881351556351
1552571379.889168,0.08880615234375,-1.068115234375,0.0875244140625,1362,6671,-114,-0.3819301547915921,1.4383410041099904,-1.0612980403236871
1552571380.442592,0.09564208984375,-1.00494384765625,0.0477294921875,1443,6659,-190,-0.45312740062958873,1.448262265522416,-0.9460677160634372
1552571380.995166,0.08807373046875,-1.02252197265625,0.1197509765625,1404,6697,-219,-0.44496339111775646,1.4489437999083805,-1.007646192056114
1552571381.547441,0.09832763671875,-1.024658203125,0.19256591796875,1172,6648,-507,-0.1367974454029548,1.208474841981553,-1.5367403177956231
1552571382.0995529,-0.08258056640625,-1.0128173828125,0.16357421875,-345,6658,-902,-0.6558539067401258,1.3678671885855727,-1.6163765629664653
1552571382.6611,0.180419921875,-0.78125,-0.110595703125,-1353,6717,-567,0.40392902246940504,1.2059466373127214,0.870602154192749
1552571383.2137077,0.0546875,-1.1021728515625,0.0308837890625,-1487,6588,-838,-2.8910717126707097,1.4864329282150728,-1.226542860800466
1552571383.7677948,-0.0303955078125,-1.0723876953125,0.166015625,-1442,6615,-1037,-2.0719691755393073,1.4172710985691244,-1.4971277209673075
1552571384.3223326,-0.0045166015625,-1.04156494140625,0.11761474609375,-1520,6559,-985,-2.3789555996210967,1.4283967065159644,-1.398533527101027
1552571384.8749177,0.1119384765625,-1.04205322265625,0.03558349609375,-1543,6588,-1035,1.7480390516747966,1.4454269253265835,-0.06774985656039659
1552571385.4310336,0.00299072265625,-1.03717041015625,0.09967041015625,-1685,6573,-955,2.819133132342565,1.4563598786386935,-0.8534249025683313
1552571385.9848866,0.01373291015625,-1.03497314453125,0.1136474609375,-1683,6497,-924,-2.4383396251773375,1.4274107857326457,-1.4474167037993504
1552571386.5375526,0.0938720703125,-1.03228759765625,0.0595703125,-1660,6582,-936,-3.067881404901606,1.4580649919342692,-1.109211515693378
1552571387.0898085,0.0504150390625,-1.03143310546875,0.0894775390625,-1739,6575,-910,3.0736036756114813,1.471091255393455,-1.0328962417269532
1552571387.6425464,0.09320068359375,-1.0042724609375,0.05859375,-1727,6551,-922,2.379627139018708,1.4712331480509724,-0.5432387472651106
1552571388.2074454,0.04449462890625,-1.0731201171875,0.06109619140625,-1709,6532,-872,3.0305663369525986,1.479465110232288,-1.008347860883763
1552571388.7593973,0.1361083984375,-1.0125732421875,0.0255126953125,-1751,6585,-796,2.7196499997984036,1.4768496059795753,-0.8490463664594211
