timestamp,light
1552571372.1193907,761
1552571372.6836247,761
1552571373.2377567,759
1552571373.7923806,757
1552571374.3449275,759
1552571374.8986354,759
1552571375.4521384,757
1552571376.0045414,758
1552571376.5570734,758
1552571377.1098073,758
1552571377.6701434,759
1552571378.2225642,759
1552571378.7772713,761
1552571379.329719,758
1552571379.889168,758
1552571380.442592,759
1552571380.995166,760
1552571381.547441,758
1552571382.0995529,758
1552571382.6611,759
1552571383.2137077,757
1552571383.7677948,759
1552571384.3223326,756
1552571384.8749177,756
1552571385.4310336,756
1552571385.9848866,759
1552571386.5375526,757
1552571387.0898085,756
1552571387.6425464,759
1552571388.2074454,759
1552571388.7593973,758
