timestamp,sound
1552571880.3581808,180
1552571880.9226577,106
1552571881.4747348,181
1552571882.0273018,107
1552571882.5828018,110
1552571883.1353657,182
1552571883.6882348,140
1552571884.2408648,107
1552571884.7980287,109
1552571885.3508599,108
1552571885.9145398,109
1552571886.4684088,110
1552571887.0208638,107
1552571887.5738308,108
1552571888.1268098,107
1552571888.680292,365
1552571889.2382448,114
1552571889.7910798,107
1552571890.3435178,285
1552571890.9066687,108
1552571891.4613087,105
1552571892.0147147,109
1552571892.5676117,340
1552571893.12263,110
1552571893.6749058,261
1552571894.2273297,233
1552571894.779528,106
1552571895.3320818,174
1552571895.886787,107
1552571896.4503229,108
1552571896.9992778,106
1552571897.552393,109
1552571898.1048758,108
1552571898.657243,106
1552571899.209434,108
1552571899.761736,107
1552571900.3142009,107
1552571900.866627,107
1552571901.419892,294
