timestamp,light
1552571880.3581808,758
1552571880.9226577,760
1552571881.4747348,757
1552571882.0273018,757
1552571882.5828018,758
1552571883.1353657,756
1552571883.6882348,756
1552571884.2408648,758
1552571884.7980287,758
1552571885.3508599,758
1552571885.9145398,760
1552571886.4684088,759
1552571887.0208638,758
1552571887.5738308,759
1552571888.1268098,756
1552571888.680292,756
1552571889.2382448,758
1552571889.7910798,758
1552571890.3435178,756
1552571890.9066687,758
1552571891.4613087,759
1552571892.0147147,758
1552571892.5676117,759
1552571893.12263,758
1552571893.6749058,758
1552571894.2273297,757
1552571894.779528,759
1552571895.3320818,759
1552571895.886787,757
1552571896.4503229,757
1552571896.9992778,758
1552571897.552393,759
1552571898.1048758,757
1552571898.657243,758
1552571899.209434,759
1552571899.761736,757
1552571900.3142009,757
1552571900.866627,758
1552571901.419892,758
